Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source,Source
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,4.00%,4.88%,100000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30,Variable,3.88%,4.95%,100000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30,Fixed,4.13%,4.30%,300000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20,Fixed,4.13%,4.33%,300000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15,Fixed,3.75%,4.04%,300000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30,Variable,4.00%,4.55%,300000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,3.75%,4.56%,300000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30,Variable,3.63%,4.64%,300000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30,Fixed,4.25%,4.37%,500000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,,20-year fixed,,Offline,,Fixed,,,500000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,,10/1 ARM,,Offline,,Variable,,,500000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,4.50%,4.88%,500000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30,Variable,4.38%,4.89%,500000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30,Fixed,4.63%,4.92%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20,Fixed,4.38%,4.84%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15,Fixed,3.88%,4.42%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10,Fixed,3.75%,4.53%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.50%,4.97%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30,Variable,4.50%,5.01%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30,Variable,4.38%,5.02%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30,Variable,4.63%,5.17%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30,Fixed,4.63%,4.77%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20,Fixed,4.38%,4.63%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15,Fixed,3.88%,4.15%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10,Fixed,3.75%,4.15%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.50%,4.81%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30,Variable,4.50%,4.85%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30,Variable,4.38%,4.86%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30,Variable,4.63%,5.01%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30,Fixed,4.25%,4.40%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20,Fixed,4.38%,4.52%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15,Fixed,4.25%,4.50%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10,Fixed,4.25%,4.55%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.00%,4.46%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30,Variable,3.75%,4.47%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30,Variable,3.88%,4.64%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30,Variable,3.75%,4.75%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30,Fixed,4.75%,5.02%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20,Fixed,4.50%,4.87%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15,Fixed,4.25%,4.76%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,, Offline ,30,Variable,4.50%,5.12%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,, Offline ,30,Variable,4.88%,5.21%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30,Fixed,4.63%,4.70%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20,Fixed,4.38%,4.50%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15,Fixed,4.00%,4.17%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,, Offline ,30,Variable,4.50%,4.84%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,, Offline ,30,Variable,4.63%,4.88%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30,Fixed,4.63%,4.67%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15,Fixed,4.38%,4.49%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,, Offline ,30,Variable,4.00%,4.50%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,, Offline ,30,Variable,4.00%,4.60%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30,Fixed,4.63%,4.82%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20,Fixed,4.38%,4.65%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15,Fixed,3.88%,4.23%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10,Fixed,3.75%,4.27%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30,Variable,3.88%,4.96%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30,Variable,3.88%,4.85%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30,Variable,4.13%,4.82%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30,Variable,4.25%,4.78%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30,Fixed,4.50%,5.37%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,FHA 15 Yr Fixed,,Offline,15,Fixed,4.50%,5.61%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30,Fixed,4.63%,4.96%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Yr Fixed,,Offline,15,Fixed,4.63%,5.21%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30,Fixed,4.38%,4.50%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20,Fixed,4.13%,4.29%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15,Fixed,3.75%,3.92%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10,Fixed,3.63%,3.94%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30,Variable,3.75%,4.85%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30,Variable,3.75%,4.73%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30,Variable,4.00%,4.69%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30,Variable,4.13%,4.64%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30,Fixed,4.38%,5.18%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,FHA 15 Yr Fixed,,Offline,15,Fixed,3.88%,4.93%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30,Fixed,4.38%,4.66%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Yr Fixed,,Offline,15,Fixed,4.00%,4.49%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,30 YR FIXED,,Offline,30,Fixed,4.13%,4.22%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,15 YR FIXED,,Offline,15,Fixed,3.75%,3.95%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 YR ARM,,Offline,30,Variable,3.25%,4.74%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 YR ARM,,Offline,30,Variable,3.38%,4.60%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 YR ARM,,Offline,30,Variable,3.63%,4.49%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 YR FIXED,,Offline,30,Fixed,4.38%,5.17%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,FHA 5-1 ARM,,Offline,30,Variable,3.75%,5.25%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 YR FIXED,,Offline,30,Fixed,4.38%,4.66%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,VA 5-1 ARM,,Offline,30,Variable,4.00%,4.67%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMF,Agency 30 Year Fixed,,Offline,30,Fixed,4.49%,4.56%,200000,20%,720,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,15YMF,Agency 15 Year Fixed,,Offline,15,Fixed,3.80%,3.92%,200000,20%,720,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMF,Jumbo 30 Year Fixed,,Offline,30,Fixed,4.63%,4.68%,500000,25%,720,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMV,Agency 30 Year 5/1 ARM,,Offline,30,Variable,3.99%,4.72%,200000,20%,720,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMV,Agency 30 Year 7/1 ARM,,Offline,30,Variable,3.90%,4.54%,200000,20%,720,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Year Fixed,,Offline,30,Fixed,4.30%,5.37%,200000,4%,660,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Year Fixed,,Offline,30,Fixed,4.30%,4.54%,200000,0%,720,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Year Fixed,,Offline,15,Fixed,3.88%,4.31%,200000,0%,720,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMV,VA 30 Year 5/1 ARM,,Offline,30,Variable,5.30%,4.96%,200000,0%,720,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMF,30-Year Fixed Rate,,Offline,30,Fixed,4.63%,4.67%,200000,25%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM Jumbo,,Offline,30,Variable,4.00%,4.54%,750000,25%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM Jumbo,,Offline,30,Variable,4.13%,4.47%,750000,25%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,4.25%,4.72%,200000,25%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30,Variable,4.13%,4.76%,200000,25%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website,
